cod_imovel;date;corrected_date;mean_ndvi
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20230110;22/01/2022;0.10355655442772200
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230629;22/01/2022;0.10500573819910300
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230704;22/01/2022;0.10677650896041100
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20230629;22/01/2022;0.10974077325917100
RS-4318002-F6EB5C09C55B4ABD9C2D88C9D2368BAE;20230722;22/01/2022;0.11094843402327800
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20230217;22/01/2022;0.11162481033154100
RS-4318002-91542917AC5942529E3E519B3FFB74F2;20230717;22/01/2022;0.12104080191039900
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20230309;22/01/2022;0.12135645850392700
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20230729;22/01/2022;0.12342756127833600
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20230110;22/01/2022;0.12407860121760500
RS-4318002-C00B5283EBD24E6DB602889F9E4CA802;20230727;02/07/2023;0.12966280541468500
RS-4318002-C00B5283EBD24E6DB602889F9E4CA802;20230729;27/07/2023;0.12980356969230800
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20230727;22/01/2022;0.13106979457635000
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230722;22/01/2022;0.13624341547163700
PR-4119905-6FD751C2A50F4A909AD933A311DE10CE;20230308;04/05/2023;0.13935366912144100
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230719;22/01/2022;0.14356845947777100
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230727;22/01/2022;0.14670719051081700
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20230729;22/01/2022;0.14902950950906400
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20230722;22/01/2022;0.16324743674965300
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20230719;22/01/2022;0.17525111620554800
RS-4318002-C00B5283EBD24E6DB602889F9E4CA802;20230722;22/07/2023;0.18061749337895800
PR-4119905-F920074969D5454D8E6C587DF9BDD057;20230308;22/01/2022;0.18235472980454400
PR-4119905-363C4E9A33FD40F781B131C3298A00D2;20230308;04/05/2023;0.18470652443666400
RS-4318002-7C91A4C4DC96469F938BB4C3AAF02EA5;20230719;22/01/2022;0.18607993213086100
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20220818;22/01/2022;0.18758360500899800
RS-4318002-25D085738A484D7EB1B4855478AAFB94;20220823;22/01/2022;0.19448213210209500
RS-4318002-5A5EE28131084262B6D9CC807CB08303;20211007;22/01/2022;0.20441755874171200
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20211007;22/01/2022;0.28667490213284400
RS-4318002-E3469EC60E2D44F9A486DA75DBB09CB5;20230717;22/01/2022;0.34174692821012300
PR-4119905-5B773F87C075494E8F9694B2428AF054;20230504;04/05/2023;0.043527518473879
PR-4119905-7EC2B9F86FE54F5288432EB617AB2738;20230504;04/05/2023;0.0471724186338118
PR-4119905-7CB1E38F76A24F58ABC8D27704CDCDDE;20230504;04/05/2023;0.0563987852732337
PR-4119905-BBEC8A84DE7F43F2B943FA0F7864EA84;20230504;04/05/2023;0.0689810364115886
PR-4119905-75F330BAB11540A2A9864546722BB635;20230504;04/05/2023;0.0700443973142735
PR-4119905-E28D1848386E4EBEB2F0EE999208EE53;20230504;04/05/2023;0.0725328254028607
PR-4119905-01CA69A1CC5C49B3A82E1A0CB6BE8FAD;20230618;22/01/2022;0.0765158627040423
PR-4119905-4E334A6F71D3483CBD1119D7ED2A25F7;20230504;24/06/2023;0.0800710625676242
PR-4119905-ABAE9CF86D324633BFEF34559A11E860;20230504;04/05/2023;0.0975677108570491
PR-4119905-5004EE46FC0742E6A6B07A1428749595;20230504;04/05/2023;0.1039509883544744
PR-4119905-5150F2D02A10431CB53BE07E46411134;20230504;02/07/2023;0.1063695610370761
RS-4318002-054E695A93BB441DB0AE79058E4DF896;20230702;22/01/2022;0.10652151815125212
PR-4119905-90E2C7C105894D44A63BB2A6B4FBF2FC;20230504;04/05/2023;0.1077377991429594
PR-4119905-0AF9937AC5DB45A48B445939A45F23C1;20220122;08/03/2023;0.1109951547572155
PR-4119905-7D6BBE5A4C6E4C6389CDD199DA3BC9D4;20230504;23/08/2022;0.1110854435560717
PR-4119905-53287F94BC0946F8B96C22007F24A92B;20230504;04/07/2023;0.1131692321803899
PR-4119905-989678CFDED04D7D806265625069D0C3;20230504;29/06/2023;0.1139676048830679
PR-4119905-487C7F12FBCD40669B59E0BDF2D04538;20230504;04/05/2023;0.1142245843498618
PR-4119905-6586B658CF534E0CB8264759EA3518B2;20230504;04/05/2023;0.1172671335902861
PR-4119905-D3A9F53981AB450EB73BA0BD94EADA4F;20230504;08/03/2023;0.117409380876622
PR-4119905-AC9CBBBA799E4E5AA26DDB0FB4BE82A5;20230504;04/05/2023;0.1194094451683515
